time,s1,s2,v1,v2,a1,a2,extra_info
4.25,0.91,1.81,0.43,0.85,0.1,0.2,info4.25
4.27,0.92,1.83,0.43,0.86,0.1,0.2,info4.27
4.29,0.92,1.85,0.43,0.86,0.1,0.2,info4.29
4.31,0.93,1.87,0.43,0.86,0.1,0.2,info4.31
4.33,0.94,1.88,0.43,0.87,0.1,0.2,info4.33
4.35,0.95,1.9,0.44,0.87,0.1,0.2,info4.35
4.37,0.96,1.92,0.44,0.88,0.1,0.2,info4.37
4.39,0.97,1.94,0.44,0.88,0.1,0.2,info4.39
4.41,0.98,1.95,0.44,0.88,0.1,0.2,info4.41
4.43,0.99,1.97,0.44,0.89,0.1,0.2,info4.43
4.45,0.99,1.99,0.45,0.89,0.1,0.2,info4.45
4.47,1.0,2.01,0.45,0.9,0.1,0.2,info4.47
4.49,1.01,2.03,0.45,0.9,0.1,0.2,info4.49
4.51,1.02,2.04,0.45,0.9,0.1,0.2,info4.51
4.53,1.03,2.06,0.45,0.91,0.1,0.2,info4.53
4.55,1.04,2.08,0.46,0.91,0.1,0.2,info4.55
4.57,1.05,2.1,0.46,0.92,0.1,0.2,info4.57
4.59,1.06,2.12,0.46,0.92,0.1,0.2,info4.59
4.61,1.07,2.13,0.46,0.92,0.1,0.2,info4.61
4.63,1.08,2.15,0.46,0.93,0.1,0.2,info4.63
4.65,1.09,2.17,0.47,0.93,0.1,0.2,info4.65
4.67,1.1,2.19,0.47,0.94,0.1,0.2,info4.67
4.69,1.1,2.21,0.47,0.94,0.1,0.2,info4.69
4.71,1.11,2.23,0.47,0.94,0.1,0.2,info4.71
4.73,1.12,2.25,0.47,0.95,0.1,0.2,info4.73
4.75,1.13,2.27,0.48,0.95,0.1,0.2,info4.75
4.77,1.14,2.28,0.48,0.96,0.1,0.2,info4.77
4.79,1.15,2.3,0.48,0.96,0.1,0.2,info4.79
4.81,1.16,2.32,0.48,0.96,0.1,0.2,info4.81
4.83,1.17,2.34,0.48,0.97,0.1,0.2,info4.83
4.85,1.18,2.36,0.49,0.97,0.1,0.2,info4.85
4.87,1.19,2.38,0.49,0.98,0.1,0.2,info4.87
4.89,1.2,2.4,0.49,0.98,0.1,0.2,info4.89
4.91,1.21,2.42,0.49,0.98,0.1,0.2,info4.91
4.93,1.22,2.44,0.49,0.99,0.1,0.2,info4.93
4.95,1.23,2.46,0.5,0.99,0.1,0.2,info4.95
4.97,1.24,2.48,0.5,1.0,0.1,0.2,info4.97
4.99,1.25,2.5,0.5,1.0,0.1,0.2,info4.99
5.01,1.26,2.52,0.5,1.0,0.1,0.2,info5.01
5.03,1.27,2.54,0.5,1.01,0.1,0.2,info5.03
5.05,1.28,2.56,0.51,1.01,0.1,0.2,info5.05
5.07,1.29,2.58,0.51,1.02,0.1,0.2,info5.07
5.09,1.3,2.6,0.51,1.02,0.1,0.2,info5.09
5.11,1.31,2.62,0.51,1.02,0.1,0.2,info5.11
5.13,1.32,2.64,0.51,1.03,0.1,0.2,info5.13
5.15,1.33,2.66,0.52,1.03,0.1,0.2,info5.15
5.17,1.34,2.68,0.52,1.04,0.1,0.2,info5.17
5.19,1.35,2.7,0.52,1.04,0.1,0.2,info5.19
5.21,1.36,2.72,0.52,1.04,0.1,0.2,info5.21
5.23,1.37,2.75,0.52,1.05,0.1,0.2,info5.23
5.25,1.38,2.77,0.53,1.05,0.1,0.2,info5.25
5.27,1.39,2.79,0.53,1.06,0.1,0.2,info5.27
5.29,1.4,2.81,0.53,1.06,0.1,0.2,info5.29
5.31,1.42,2.83,0.53,1.06,0.1,0.2,info5.31
5.33,1.43,2.85,0.53,1.07,0.1,0.2,info5.33
5.35,1.44,2.87,0.54,1.07,0.1,0.2,info5.35
5.37,1.45,2.89,0.54,1.08,0.1,0.2,info5.37
5.39,1.46,2.92,0.54,1.08,0.1,0.2,info5.39
5.41,1.47,2.94,0.54,1.08,0.1,0.2,info5.41
5.43,1.48,2.96,0.54,1.09,0.1,0.2,info5.43
5.45,1.49,2.98,0.55,1.09,0.1,0.2,info5.45
5.47,1.5,3.0,0.55,1.1,0.1,0.2,info5.47
5.49,1.51,3.03,0.55,1.1,0.1,0.2,info5.49
5.51,1.52,3.05,0.55,1.1,0.1,0.2,info5.51
5.53,1.53,3.07,0.55,1.11,0.1,0.2,info5.53
5.55,1.55,3.09,0.56,1.11,0.1,0.2,info5.55
5.57,1.56,3.11,0.56,1.12,0.1,0.2,info5.57
5.59,1.57,3.14,0.56,1.12,0.1,0.2,info5.59
5.61,1.58,3.16,0.56,1.12,0.1,0.2,info5.61
5.63,1.59,3.18,0.56,1.13,0.1,0.2,info5.63
5.65,1.6,3.2,0.57,1.13,0.1,0.2,info5.65
5.67,1.61,3.23,0.57,1.14,0.1,0.2,info5.67
5.69,1.62,3.25,0.57,1.14,0.1,0.2,info5.69
5.71,1.64,3.27,0.57,1.14,0.1,0.2,info5.71
5.73,1.65,3.29,0.57,1.15,0.1,0.2,info5.73
5.75,1.66,3.32,0.58,1.15,0.1,0.2,info5.75
5.77,1.67,3.34,0.58,1.16,0.1,0.2,info5.77
5.79,1.68,3.36,0.58,1.16,0.1,0.2,info5.79
5.81,1.69,3.39,0.58,1.16,0.1,0.2,info5.81
5.83,1.71,3.41,0.58,1.17,0.1,0.2,info5.83
5.85,1.72,3.43,0.59,1.17,0.1,0.2,info5.85
5.87,1.73,3.46,0.59,1.18,0.1,0.2,info5.87
5.89,1.74,3.48,0.59,1.18,0.1,0.2,info5.89
5.91,1.75,3.5,0.59,1.18,0.1,0.2,info5.91
5.93,1.76,3.53,0.59,1.19,0.1,0.2,info5.93
5.95,1.78,3.55,0.6,1.19,0.1,0.2,info5.95
5.97,1.79,3.58,0.6,1.2,0.1,0.2,info5.97
5.99,1.8,3.6,0.6,1.2,0.1,0.2,info5.99
6.01,1.81,3.62,0.6,1.2,0.1,0.2,info6.01
6.03,1.82,3.65,0.6,1.21,0.1,0.2,info6.03
6.05,1.84,3.67,0.61,1.21,0.1,0.2,info6.05
6.07,1.85,3.7,0.61,1.22,0.1,0.2,info6.07
6.09,1.86,3.72,0.61,1.22,0.1,0.2,info6.09
6.11,1.87,3.75,0.61,1.22,0.1,0.2,info6.11
6.13,1.88,3.77,0.61,1.23,0.1,0.2,info6.13
6.15,1.9,3.79,0.62,1.23,0.1,0.2,info6.15
6.17,1.91,3.82,0.62,1.24,0.1,0.2,info6.17
6.19,1.92,3.84,0.62,1.24,0.1,0.2,info6.19
6.21,1.93,3.87,0.62,1.24,0.1,0.2,info6.21
6.23,1.95,3.89,0.62,1.25,0.1,0.2,info6.23
6.25,1.96,3.92,0.63,1.25,0.1,0.2,info6.25
6.27,1.97,3.94,0.63,1.26,0.1,0.2,info6.27
6.29,1.98,3.97,0.63,1.26,0.1,0.2,info6.29
6.31,2.0,3.99,0.63,1.26,0.1,0.2,info6.31
6.33,2.01,4.02,0.63,1.27,0.1,0.2,info6.33
6.35,2.02,4.04,0.64,1.27,0.1,0.2,info6.35
6.37,2.04,4.07,0.64,1.28,0.1,0.2,info6.37
6.39,2.05,4.1,0.64,1.28,0.1,0.2,info6.39
6.41,2.06,4.12,0.64,1.28,0.1,0.2,info6.41
6.43,2.07,4.15,0.64,1.29,0.1,0.2,info6.43
6.45,2.09,4.17,0.65,1.29,0.1,0.2,info6.45
6.47,2.1,4.2,0.65,1.3,0.1,0.2,info6.47
6.49,2.11,4.23,0.65,1.3,0.1,0.2,info6.49
6.51,2.13,4.25,0.65,1.3,0.1,0.2,info6.51
6.53,2.14,4.28,0.65,1.31,0.1,0.2,info6.53
6.55,2.15,4.3,0.66,1.31,0.1,0.2,info6.55
6.57,2.16,4.33,0.66,1.32,0.1,0.2,info6.57
6.59,2.18,4.36,0.66,1.32,0.1,0.2,info6.59
6.61,2.19,4.38,0.66,1.32,0.1,0.2,info6.61
6.63,2.2,4.41,0.66,1.33,0.1,0.2,info6.63
6.65,2.22,4.44,0.67,1.33,0.1,0.2,info6.65
6.67,2.23,4.46,0.67,1.34,0.1,0.2,info6.67
6.69,2.24,4.49,0.67,1.34,0.1,0.2,info6.69
6.71,2.26,4.52,0.67,1.34,0.1,0.2,info6.71
6.73,2.27,4.54,0.67,1.35,0.1,0.2,info6.73
6.75,2.28,4.57,0.68,1.35,0.1,0.2,info6.75
6.77,2.3,4.6,0.68,1.36,0.1,0.2,info6.77
6.79,2.31,4.62,0.68,1.36,0.1,0.2,info6.79
6.81,2.33,4.65,0.68,1.36,0.1,0.2,info6.81
6.83,2.34,4.68,0.68,1.37,0.1,0.2,info6.83
6.85,2.35,4.71,0.69,1.37,0.1,0.2,info6.85
6.87,2.37,4.73,0.69,1.38,0.1,0.2,info6.87
6.89,2.38,4.76,0.69,1.38,0.1,0.2,info6.89
6.91,2.39,4.79,0.69,1.38,0.1,0.2,info6.91
6.93,2.41,4.82,0.69,1.39,0.1,0.2,info6.93
6.95,2.42,4.84,0.7,1.39,0.1,0.2,info6.95
6.97,2.44,4.87,0.7,1.4,0.1,0.2,info6.97
6.99,2.45,4.9,0.7,1.4,0.1,0.2,info6.99
7.01,2.46,4.93,0.7,1.4,0.1,0.2,info7.01
7.03,2.48,4.96,0.7,1.41,0.1,0.2,info7.03
7.05,2.49,4.98,0.71,1.41,0.1,0.2,info7.05
7.07,2.51,5.01,0.71,1.42,0.1,0.2,info7.07
7.09,2.52,5.04,0.71,1.42,0.1,0.2,info7.09
7.11,2.53,5.07,0.71,1.42,0.1,0.2,info7.11
7.13,2.55,5.1,0.71,1.43,0.1,0.2,info7.13
7.15,2.56,5.13,0.72,1.43,0.1,0.2,info7.15
7.17,2.58,5.16,0.72,1.44,0.1,0.2,info7.17
7.19,2.59,5.18,0.72,1.44,0.1,0.2,info7.19
7.21,2.61,5.21,0.72,1.44,0.1,0.2,info7.21
7.23,2.62,5.24,0.72,1.45,0.1,0.2,info7.23
7.25,2.64,5.27,0.73,1.45,0.1,0.2,info7.25
7.27,2.65,5.3,0.73,1.46,0.1,0.2,info7.27
7.29,2.66,5.33,0.73,1.46,0.1,0.2,info7.29
7.31,2.68,5.36,0.73,1.46,0.1,0.2,info7.31
7.33,2.69,5.39,0.73,1.47,0.1,0.2,info7.33
7.35,2.71,5.42,0.74,1.47,0.1,0.2,info7.35
7.37,2.72,5.45,0.74,1.48,0.1,0.2,info7.37
7.39,2.74,5.48,0.74,1.48,0.1,0.2,info7.39
7.41,2.75,5.51,0.74,1.48,0.1,0.2,info7.41
7.43,2.77,5.54,0.74,1.49,0.1,0.2,info7.43
7.45,2.78,5.57,0.75,1.49,0.1,0.2,info7.45
7.47,2.8,5.6,0.75,1.5,0.1,0.2,info7.47
7.49,2.81,5.63,0.75,1.5,0.1,0.2,info7.49
7.52,2.83,5.66,0.75,1.5,0.1,0.2,info7.52
7.54,2.84,5.69,0.75,1.51,0.1,0.2,info7.54
7.56,2.86,5.72,0.76,1.51,0.1,0.2,info7.56
7.58,2.87,5.75,0.76,1.52,0.1,0.2,info7.58
7.6,2.89,5.78,0.76,1.52,0.1,0.2,info7.6
7.62,2.9,5.81,0.76,1.52,0.1,0.2,info7.62
7.64,2.92,5.84,0.76,1.53,0.1,0.2,info7.64
7.66,2.93,5.87,0.77,1.53,0.1,0.2,info7.66
7.68,2.95,5.9,0.77,1.54,0.1,0.2,info7.68
7.7,2.96,5.93,0.77,1.54,0.1,0.2,info7.7
7.72,2.98,5.96,0.77,1.54,0.1,0.2,info7.72
7.74,3.0,5.99,0.77,1.55,0.1,0.2,info7.74
7.76,3.01,6.02,0.78,1.55,0.1,0.2,info7.76
7.78,3.03,6.05,0.78,1.56,0.1,0.2,info7.78
7.8,3.04,6.08,0.78,1.56,0.1,0.2,info7.8
7.82,3.06,6.12,0.78,1.56,0.1,0.2,info7.82
7.84,3.07,6.15,0.78,1.57,0.1,0.2,info7.84
7.86,3.09,6.18,0.79,1.57,0.1,0.2,info7.86
7.88,3.1,6.21,0.79,1.58,0.1,0.2,info7.88
7.9,3.12,6.24,0.79,1.58,0.1,0.2,info7.9
7.92,3.14,6.27,0.79,1.58,0.1,0.2,info7.92
7.94,3.15,6.3,0.79,1.59,0.1,0.2,info7.94
7.96,3.17,6.34,0.8,1.59,0.1,0.2,info7.96
7.98,3.18,6.37,0.8,1.6,0.1,0.2,info7.98
8.0,3.2,6.4,0.8,1.6,0.1,0.2,info8.0
8.02,3.22,6.43,0.8,1.6,0.1,0.2,info8.02
8.04,3.23,6.46,0.8,1.61,0.1,0.2,info8.04
8.06,3.25,6.5,0.81,1.61,0.1,0.2,info8.06
8.08,3.26,6.53,0.81,1.62,0.1,0.2,info8.08
8.1,3.28,6.56,0.81,1.62,0.1,0.2,info8.1
8.12,3.3,6.59,0.81,1.62,0.1,0.2,info8.12
8.14,3.31,6.63,0.81,1.63,0.1,0.2,info8.14
8.16,3.33,6.66,0.82,1.63,0.1,0.2,info8.16
8.18,3.35,6.69,0.82,1.64,0.1,0.2,info8.18
8.2,3.36,6.72,0.82,1.64,0.1,0.2,info8.2
8.22,3.38,6.76,0.82,1.64,0.1,0.2,info8.22
8.24,3.39,6.79,0.82,1.65,0.1,0.2,info8.24
8.26,3.41,6.82,0.83,1.65,0.1,0.2,info8.26
8.28,3.43,6.86,0.83,1.66,0.1,0.2,info8.28
8.3,3.44,6.89,0.83,1.66,0.1,0.2,info8.3
8.32,3.46,6.92,0.83,1.66,0.1,0.2,info8.32
8.34,3.48,6.96,0.83,1.67,0.1,0.2,info8.34
8.36,3.49,6.99,0.84,1.67,0.1,0.2,info8.36
8.38,3.51,7.02,0.84,1.68,0.1,0.2,info8.38
8.4,3.53,7.06,0.84,1.68,0.1,0.2,info8.4
8.42,3.54,7.09,0.84,1.68,0.1,0.2,info8.42
8.44,3.56,7.12,0.84,1.69,0.1,0.2,info8.44
